test_case,target_vertices,actual_vertices,areal_displacement
dense_outer,3,3,1.905677e+06
dense_outer,5,5,5.547323e+05
dense_outer,10,10,2.216183e+05
dense_outer,20,20,5.811814e+04
dense_outer,30,30,2.666458e+04
dense_outer,50,50,9.351667e+03
dense_outer,75,75,4.485934e+03
dense_outer,100,100,2.614760e+03
dense_outer,150,150,1.309072e+03
dense_outer,200,200,7.074563e+02
dense_outer,250,250,5.113286e+02
dense_outer,300,300,6.195465e+01
dense_outer,350,350,0.000000e+00
dense_outer,400,400,0.000000e+00
large_with_many_holes,27,27,1.228901e+06
large_with_many_holes,30,30,2.032837e+05
large_with_many_holes,35,35,7.591414e+04
large_with_many_holes,40,40,5.492921e+04
large_with_many_holes,50,50,3.623188e+04
large_with_many_holes,60,60,3.021398e+04
large_with_many_holes,70,70,1.700321e+04
large_with_many_holes,80,80,7.674165e+03
large_with_many_holes,90,90,4.144611e+03
large_with_many_holes,100,100,3.484250e+03
large_with_many_holes,115,115,8.261685e+02
large_with_many_holes,130,130,0.000000e+00
large_with_many_holes,148,148,0.000000e+00
many_holes,21,21,8.324126e+04
many_holes,25,25,8.204386e+04
many_holes,28,28,8.148061e+04
many_holes,32,32,8.104640e+04
many_holes,37,37,8.080688e+04
many_holes,42,42,8.062537e+04
many_holes,50,50,8.037412e+04
many_holes,58,58,8.024411e+04
many_holes,65,69,8.008616e+04
many_holes,76,76,0.000000e+00
